ds,y
2020-01-26 11:00:00,6126.00
2020-01-26 12:00:00,7275.00
2020-01-26 13:00:00,6566.00
2020-01-26 14:00:00,7366.00
2020-01-26 15:00:00,7379.00
2020-01-26 16:00:00,9885.00
2020-01-26 17:00:00,11837.00
2020-01-26 18:00:00,10747.00
2020-01-26 19:00:00,7216.00
2020-01-26 20:00:00,11648.00
2020-01-26 21:00:00,16771.00
2020-01-26 22:00:00,14315.00
2020-01-26 23:00:00,10995.00
2020-01-27 00:00:00,10291.00
2020-01-27 01:00:00,9479.00
2020-01-27 02:00:00,13509.00
2020-01-27 03:00:00,12728.00
2020-01-27 04:00:00,7677.00
2020-01-27 05:00:00,6632.00
2020-01-27 06:00:00,6258.00
2020-01-27 07:00:00,6162.00
2020-01-27 08:00:00,9830.00
2020-01-27 09:00:00,22015.00
2020-01-27 10:00:00,55762.00
2020-01-27 11:00:00,82777.00
2020-01-27 12:00:00,118695.00
2020-01-27 13:00:00,178657.00
2020-01-27 14:00:00,212973.00
2020-01-27 15:00:00,244508.00
2020-01-27 16:00:00,145070.00
2020-01-27 17:00:00,142654.00
2020-01-27 18:00:00,191411.00
2020-01-27 19:00:00,192883.00
2020-01-27 20:00:00,151392.00
2020-01-27 21:00:00,125940.00
2020-01-27 22:00:00,74738.00
2020-01-27 23:00:00,32207.00
2020-01-28 00:00:00,17274.00
2020-01-28 01:00:00,16501.00
2020-01-28 02:00:00,17838.00
2020-01-28 03:00:00,16265.00
2020-01-28 04:00:00,8830.00
2020-01-28 05:00:00,7354.00
2020-01-28 06:00:00,8502.00
2020-01-28 07:00:00,10183.00
2020-01-28 08:00:00,17840.00
2020-01-28 09:00:00,22497.00
2020-01-28 10:00:00,43989.00
2020-01-28 11:00:00,86479.00
2020-01-28 12:00:00,112138.00
2020-01-28 13:00:00,152793.00
2020-01-28 14:00:00,194494.00
2020-01-28 15:00:00,207512.00
2020-01-28 16:00:00,132944.00
2020-01-28 17:00:00,112994.00
2020-01-28 18:00:00,149649.00
2020-01-28 19:00:00,143980.00
2020-01-28 20:00:00,152185.00
2020-01-28 21:00:00,123951.00
2020-01-28 22:00:00,50499.00
2020-01-28 23:00:00,21070.00
2020-01-29 00:00:00,16569.00
2020-01-29 01:00:00,16802.00
2020-01-29 02:00:00,11155.00
2020-01-29 03:00:00,10010.00
2020-01-29 04:00:00,5238.00
2020-01-29 05:00:00,3266.00
2020-01-29 06:00:00,3253.00
2020-01-29 07:00:00,3645.00
2020-01-29 08:00:00,6533.00
2020-01-29 09:00:00,13424.00
2020-01-29 10:00:00,43637.00
2020-01-29 11:00:00,77862.00
2020-01-29 12:00:00,89458.00
2020-01-29 13:00:00,132651.00
2020-01-29 14:00:00,187522.00
2020-01-29 15:00:00,203066.00
2020-01-29 16:00:00,128241.00
2020-01-29 17:00:00,140253.00
2020-01-29 18:00:00,170423.00
2020-01-29 19:00:00,161230.00
2020-01-29 20:00:00,140747.00
2020-01-29 21:00:00,118821.00
2020-01-29 22:00:00,49954.00
