ds,y
2020-01-12 11:30:00,13297.00
2020-01-12 12:30:00,12120.00
2020-01-12 13:30:00,13386.00
2020-01-12 14:30:00,17547.00
2020-01-12 15:30:00,16867.00
2020-01-12 16:30:00,16415.00
2020-01-12 17:30:00,20534.00
2020-01-12 18:30:00,18257.00
2020-01-12 19:30:00,16178.00
2020-01-12 20:30:00,12520.00
2020-01-12 21:30:00,14003.00
2020-01-12 22:30:00,16927.00
2020-01-12 23:30:00,16764.00
2020-01-13 00:30:00,16961.00
2020-01-13 01:30:00,20958.00
2020-01-13 02:30:00,17380.00
2020-01-13 03:30:00,12410.00
2020-01-13 04:30:00,12051.00
2020-01-13 05:30:00,12015.00
2020-01-13 06:30:00,11913.00
2020-01-13 07:30:00,13083.00
2020-01-13 08:30:00,15594.00
2020-01-13 09:30:00,29105.00
2020-01-13 10:30:00,60945.00
2020-01-13 11:30:00,78752.00
2020-01-13 12:30:00,128730.00
2020-01-13 13:30:00,229409.00
2020-01-13 14:30:00,241783.00
2020-01-13 15:30:00,257296.00
2020-01-13 16:30:00,211250.00
2020-01-13 17:30:00,184488.00
2020-01-13 18:30:00,214399.00
2020-01-13 19:30:00,199096.00
2020-01-13 20:30:00,187666.00
2020-01-13 21:30:00,160099.00
2020-01-13 22:30:00,84995.00
2020-01-13 23:30:00,38374.00
2020-01-14 00:30:00,29141.00
2020-01-14 01:30:00,28159.00
2020-01-14 02:30:00,27691.00
2020-01-14 03:30:00,19974.00
2020-01-14 04:30:00,17511.00
2020-01-14 05:30:00,15211.00
2020-01-14 06:30:00,16821.00
2020-01-14 07:30:00,15246.00
2020-01-14 08:30:00,19922.00
2020-01-14 09:30:00,33938.00
2020-01-14 10:30:00,67872.00
2020-01-14 11:30:00,77698.00
2020-01-14 12:30:00,101190.00
2020-01-14 13:30:00,185479.00
2020-01-14 14:30:00,206059.00
2020-01-14 15:30:00,208163.00
2020-01-14 16:30:00,172730.00
2020-01-14 17:30:00,160729.00
2020-01-14 18:30:00,170554.00
2020-01-14 19:30:00,168978.00
2020-01-14 20:30:00,158306.00
2020-01-14 21:30:00,120721.00
2020-01-14 22:30:00,61504.00
2020-01-14 23:30:00,37189.00
2020-01-15 00:30:00,35163.00
2020-01-15 01:30:00,21384.00
2020-01-15 02:30:00,21456.00
2020-01-15 03:30:00,20812.00
2020-01-15 04:30:00,15533.00
2020-01-15 05:30:00,13878.00
2020-01-15 06:30:00,16701.00
2020-01-15 07:30:00,12968.00
2020-01-15 08:30:00,19636.00
2020-01-15 09:30:00,33032.00
2020-01-15 10:30:00,34289.00
2020-01-15 11:30:00,52480.00
2020-01-15 12:30:00,73383.00
2020-01-15 13:30:00,157908.00
2020-01-15 14:30:00,164065.00
2020-01-15 15:30:00,174003.00
2020-01-15 16:30:00,136358.00
2020-01-15 17:30:00,117049.00
2020-01-15 18:30:00,161256.00
2020-01-15 19:30:00,140165.00
2020-01-15 20:30:00,141814.00
2020-01-15 21:30:00,114029.00
2020-01-15 22:30:00,68733.00
2020-01-15 23:30:00,40656.00
2020-01-16 00:30:00,31858.00
2020-01-16 01:30:00,29140.00
2020-01-16 02:30:00,22745.00
2020-01-16 03:30:00,18928.00
2020-01-16 04:30:00,12683.00
2020-01-16 05:30:00,10519.00
2020-01-16 06:30:00,10280.00
2020-01-16 07:30:00,10330.00
2020-01-16 08:30:00,18741.00
2020-01-16 09:30:00,25079.00
2020-01-16 10:30:00,63476.00
2020-01-16 11:30:00,82196.00
2020-01-16 12:30:00,123918.00
2020-01-16 13:30:00,179425.00
2020-01-16 14:30:00,212205.00
2020-01-16 15:30:00,235356.00
2020-01-16 16:30:00,175409.00
2020-01-16 17:30:00,162459.00
2020-01-16 18:30:00,215499.00
2020-01-16 19:30:00,198216.00
2020-01-16 20:30:00,179406.00
2020-01-16 21:30:00,136562.00
2020-01-16 22:30:00,80757.00
2020-01-16 23:30:00,45704.00
2020-01-17 00:30:00,38468.00
2020-01-17 01:30:00,37984.00
2020-01-17 02:30:00,36337.00
2020-01-17 03:30:00,34895.00
2020-01-17 04:30:00,31953.00
2020-01-17 05:30:00,31057.00
2020-01-17 06:30:00,27140.00
2020-01-17 07:30:00,27365.00
2020-01-17 08:30:00,31810.00
2020-01-17 09:30:00,43901.00
2020-01-17 10:30:00,81758.00
2020-01-17 11:30:00,115187.00
2020-01-17 12:30:00,154429.00
2020-01-17 13:30:00,200018.00
